objectid,filename,youtubeid,title,director,releaseyear,description,date,method,permalinks,language,subtitlelang,format
sopyonje,,,서편제 Sŏp'yŏnje ,"

Im, Kwon-taek",1993,"Based on a short story by Yi Ch'ŏng-jun. Set in the early 1960s
but includes flashbacks to the Japanese colonial period. The판소리 (p'ansori) is a
Korean musical genre that includes a singer and a drummer. Also see Chunhyang. DIsappearing way of life ",1960,dvd; blu-ray; online,http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=3955764 (DVD); http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=9408896 (Bluray); https://www.youtube.com/watch?v=sdjwD4jW4XY (YouTube),kor,kor;eng; jpn,text/csv
obaltan,,,"오발탄 Obalt'an
The Aimless Bullet ","

Yu, Hyŏn-mok",1961,"The film’s
message and depiction of the grim life in post-war Korea, led to the film’s ban
by the government upon release. The film focuses on the protagonist, an office
clerk, who desperately struggles to make ends meet for his family. The sister
is a prostitute for American soldiers stationed on military bases in South
Korea., a consequence of an unfinished war. The aftermath of the Korean War is
seen through the brother, an unemployed and injured Korean War veteran. And
most significantly through the characterization of the mother, who expresses
trauma from experiencing the Korean War. Based on a novella of the same name by
Yi Pŏm-sŏn.",1961,dvd; blu-ray,http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=3906455; http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=8917693,kor,kor;eng; jpn,text/csv
yukcheuikobaek ,,,육체 의 고백 Yukch'e ŭi kobaek The body confession,"Cho,
Keung-ha",1964,"Explores the
intergenerational role of women and economic struggles amid the post-war. Includes
footage from the April 19 movement that led President Rhee Syngman’s
resignation from power.",1964,dvd; online, http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=12149702;  https://www.youtube.com/watch?v=lO78j-5Tgi8 (YouTube),kor,kor; jpn; chi; eng; fre; spa; rus,text/csv
silmido,,,"실미도:684북파부대  Silmido:684
pukpʻa pudae ","Kang, U-sŏk",2003,"Based on a true story; Based on a novel. In 1968, North Korean soldiers failed to
assassinate President Park Chung-hee. In response, Unit 684 was formed to
assassinate North Korean leader, Kim Il-sung.",1968,dvd,"
http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=4898435",kor,kor; eng,text/csv
arumdaunchongnyon,,,"아름다운 청년 전태일 Arŭmdaun
chʻŏngnyŏn Chŏn Tʻae-il  A Single Spark","Pak, Kwang-su",1995,"Jeon Tae-il was a 22 year old labour activist who committed suicide in 1970 by igniting himself on fire, in protest of the working conditions in garment factories. Specifically, he worked in Seoul at the Pyeonghwa Market where he witnessed the terrible working conditions of young girls. Under President Park Chung-hee’s industrialization efforts, there was a growing intensive working conditions. Jeon was and continues to be a significant figure for labour activists in South Korea",1970,dvd,http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=4898438,kor,kor,text/csv
Nimunmonkote ,,,님 은 먼 곳 에 Nim ŭn mŏn kot e,"Yi, Chun-ik",2008,South Korean soldiers participated in the Vietnam War alongside the United States.,1971,dvd,http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=4167982,kor,kor; eng,text/csv
rpoint,,,알 포인트 R-Point ,"Gong, Su-chang",2004,"South Korean soldiers participated in the Vietnam War and were the
largest force to fight alongside the United States.",1972,dvd; online,http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=6615950;  http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=11818156 (Criterion),kor,eng,text/csv
yongjauichonsongsidae ,,,영자 의 전성 시대 Yŏng-ja ŭi chŏnsŏng sidae Yeong-ja's heydays ,"Kim, Ho-sŏn",1975,"Male protagonist leaves and returns as a South Korean soldier of
the Vietnam War. The female protagonist, Yeong-ja, presents an interconnection
of struggles. She experiences many jobs such as being a housemaid for a wealthy
family, a low paid factory worker in a garment factory, and a prostitute. ",1975,dvd,http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=6603351,kor,kor; jpn; chi; eng; fre; spa; rus; ara,text/csv
manstandingnext,,,남산의 부장들The Man Standing Next ,"

Woo, Min-ho",2020,"Park Chung-hee led a coup d'état in 1962 and entered presidency.
The film depicts events leading up his death. Park was assassinated by the head
of the Korean Central Intelligence Agency (KCIA), Kim Jae-gyu, on October 26,
1979.",1979,N/A,N/A,kor,N/A,text/csv
presidentslastbang,,,그때 그사람들 The President's Last Bang ,"Im, Sang-Su",2005,"About the assassination of President Park
Chung-hee. See: The Man Standing Next",1979,dvd,http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=6616304,kor,Information not available.,text/csv
hayanchonjaeng,,,하얀전쟁 Hayan chŏnjaeng White badge ,"Chong, Chi-yong",1992,"Addresses the experience of soldiers
following participation in the Vietnam War. ",1979,dvd,http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=7620166,kor,kor; eng,text/csv
changma,,,장마 Changma Rainy Day,"Yu, Hyŏn-mok",1979,Addresses longstanding tensions between family following the Korean War.,1979,dvd,http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=7277084; https://www.youtube.com/watch?v=xaG1U7IADQo (YouTube),kor,kor; jpn; chi; eng; fre; spa; rus; ara,text/csv
kukchesijang,,,"국제시장 Kukche Sijang Ode to
my father ","Yun, Che-gyun",2015,"Covers an intergenerational story
from the Korean War, post-war life, Korean diaspora in Germany, and the Vietnam
War.",1980,dvd,http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=8326730,kor,kor; eng,text/csv
taeksiunjonsa,,,택시 운전사 T'aeksi unjŏnsa A taxi driver,"Chang, Hun ",2018,"Based on a true story; The Gwangju Uprising in 1980, a pro-democracy
uprising that was violently shut down by the military government of President
Chun Doo-hwan. The film depicts the story of Jürgen Hinzpeter, a German TV
reporter who captured footage of Gwangju through the help of Kim Sa-bok, a taxi
driver. Mr. Kim’s identity was unknown until after the release of this film.",1980,dvd,http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=10073564,kor,kor; eng,text/csv
koraesanyang,,,고래 사냥 Korae sanyang Whale hunting ,"
Pae, Ch'ang-ho",1985,"

Depiction of life in 1980s South Korea. ",1980,dvd,http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=12149478 ,kor,kor; eng; jpn,text/csv
kkobandtognesaramdul,,,"꼬방 동네 사람들 Kkobang
tongne saramdŭl
People in the slum ","Pae, Ch’ang-ho",1982,"

Depiction of poverty and slums in South Korea. ",1982,dvd; online,http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=9408899;  https://www.youtube.com/watch?v=bqo7KL2DrMY (YouTube),kor,kor; eng; jpn,text/csv
Kilsottum ,,,길소뜸 Kilsottŭm Gilsotteum ,"Im, Kwon-taek",1985,"Depicts reunification with separated
families. The film includes direct footage from the KBS Live Broadcast, 이산가족을 찾습니다 (Finding Dispersed Families), that
aired in 1983 to help reunify relatives. The broadcast’s archive has been
included in UNESCO’s Memory of the World Register since 2015. See http://family.kbsarchive.com/ (KOR), http://english.kbsarchive.com/ (ENG).",1983,dvd,http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=6603334;  https://youtu.be/UtDHc881l34 (YouTube),kor,kor; jpn; chi; eng; fre; spa; rus; ara,text/csv
namyongdong,,,남영동 1985 Namyŏng-dong 1985 ,"Chŏng,
Chi-yŏng",2012,"Based on a true story; a memoir by Kim Geun-tae. The film depicts
the interrogation and torture committed by the police under Chun Doo-hwan’s
presidency. At the time, democracy activists, (suspected) communist sympathizers,
and dissenters were arrested. Also see: 1987: When the Day Comes. ",1985,dvd,http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=6579115,kor,kor; eng,text/csv
memoriesofmurder,,,살인의 추억 Sarin ŭi ch'uŏk  Memories of Murder ,"Bong, Joon-ho",2003,"Based on the 화성 연쇄 살인 사건 (Hwaseong serial
murders) that took place from 1986-1991. The case was unsolved until 2019, when
the perpetrator confessed while in prison for a different crime. The film
depicts the lack of crime investigation technology in Korea at the time, and an
important background is also the democracy efforts/conflicts and the
authoritarian regime at the time.",1986,dvd,"

http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=7620158 (Asian
Library);
 http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=6612111 (Koerner);
http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=8147148 (Okanagan",kor,kor; eng,text/csv
1987,,,"1987 1987: When the
Day Comes ",Jang Joon-hwan,2017,"Based on a true story; Park Jong-chul was a 21 year old university
student who was tortured for information and died in custody of the police. His
death was significant to the June Democracy Movement of 1987. ",1987,,N/A,kor,,text/csv
chilsuwamansu,,,"칠수 와 만수 Ch’il-su
wa Man-su","Pak, Kwang-su",1988,"The film’s setting depicts elements of 1980s cultural and politicalclimate. Notably, the popularity of ‘Western’ music, movies (e.g., Rocky), and food is portrayed.
In addition, both Chilsu and Mansu experience consequences withstanding from the Korean War. Altogether, this film presents a portrayal of a disillusioned working class, the long-lasting effects of the Korean War, and the cultural landscape of the 1980s.",1988,dvd,http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=8917824,kor,kor; eng; jpn,text/csv
asone,,,코리아 As One ,"Moon,
Hyun-Sung",2012,"In 1991, the South and North Korean table tennis teams competed as a unified, Korea at the World Table Tennis Championships. This was in result of talks from an inter-Korean summit where tensions were high on the peninsula as
in 1987, North Korean agents bombed Korean Air flight 858 mid-flight.",1991,online,"
https://www.ondemandkorea.com/as-one.html?t=m",kor,eng,text/csv
escapefrommogadishu,,,"모가디슈 Escape
from Mogadishu ","Ryoo, Seung-wan",2022,"Based on a true story; about the Somali civil
war in 1991 and the South Korean embassy's escape from the area of conflict, in
cooperation with the North Korean embassy.",1991,dvd,http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=12415528,kor,eng,text/csv
Kusomekagosipta ,,,"그 섬 에 가고 싶다 Kŭ
sŏm e kago sipta To the Starry Island","Pak, Kwang-su",1993,"Depicts the longing effects of the Korean War and political
affiliation amid the 20th century, particularly being a communist sympathizer. Also see film, Chilsu wa Mansu.",1993,dvd, http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=12149553;  http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=12149552 (DVD Box Set),kor,kor; jpn; chi; eng; fre; spa; rus; ara,text/csv
tracesoflove,,,가을로 Traces of Love ,"Kim, Dae-seung",2006,The Sampoong Department Store Collapse of 1995 was an event that marked critical failure of leadership and required reflection on the cost of rapid development and negligence.,1995,N/A,N/A,kor,,text/csv
kukkapudouinal,,,"국가 부도 의 날 Kukka pudo ŭi nal
Default ","Choi, Gook-hee",2018,"Depicts events surrounding the 1997 IMF
Crisis in South Korea.",1997,dvd,http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=10054564,kor,chi;eng,text/csv
shiri,,,쉬리 Shiri ,"Kang, Je-Gyu",1999,"Touches on an idea of Korean reunification. Reflects changing sentiments in approaching North Korea and the 햇볕정책
(Sunshine Policy) introduced by President Kim Dae-jung in 1998.",1998,dvd,http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=4177081,kor,eng;fre;spa;por,text/csv
pakhasatang,,,"박하사탕 Pakha
sat'ang Peppermint candy ","Lee, Chang-dong",1999,"The protagonist’s story is shown through flashbacks of major
periods and events in late 20th C Korean history. Notably, the 1980 Gwangju
Uprising, democratization movements, torture under the military government,
rapid industrialization/economic growth, and the IMF Crisis.",1999,dvd,http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=5036179,kor,kor;eng;jpn,text/csv
JSA,,,"공동경비구역
JSA, Joint Security Area ","Park, Chan-wook",2000,"Based on the novel, DMZ by박상연 Park Sang-yeon (1997). Touches on an idea of Korean reunification. Reflects changing sentiments in approaching North Korea and the 햇볕정책 (Sunshine Policy) introduced by President Kim Dae-jung in 1998.",2000,dvd,http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=6611993,kor,Information not available.,text/csv
koemul,,,"괴물
Koemul The Host ","Bong, Joon-ho",2006,The central ensemble of the film depicts different remnants of 20th century Korea such as the son who is a former political activist (see 1980s) and failed university graduate.,2006,dvd,"

http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=7277026 (Asian
Library); http://resolve.library.ubc.ca/cgi-bin/catsearch?bid=6618479
(Koerner)",kor,kor; jpn; chi; eng; fre; spa; rus; ara,text/csv
bacchuslady,,,죽여주는 여자 The Bacchus Lady ,E J-yong,2016,"

Follows the life of a ‘Bacchus Lady’, a term for elderly women who
work as a sex worker under the guise of selling Bacchus energy drinks. Explores
historical and contemporary social issues such as American-Korean relations, elderly
poverty, aftermath of the IMF crisis, and Korean-Filipino (Kopino) children. ",2016,N/A,N/A,kor,,text/csv
icanspeak,,,아이 캔 스피크 I Can Speak,"Kim, Hyŏnsŏk",2017,,2017,N/A,N/A,kor,,text/csv
